# VHH-NNLO SMEFT grid scan points
# process: WplusHH
# energy_tev: 13.6
# scan_axes: phi,phiW
# windows: phi=[-15,5]; phiW=[-1,1]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phi	phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-15	0.4358974359	1.821432775	2.186105283	1.200211895	6.138650773	6.107254775
-15	0.4871794872	1.869194485	2.242871347	1.199913313	6.299618809	6.265840372
-15	0.5384615385	1.916956194	2.29963741	1.199629609	6.460586844	6.42442597
-15	0.5897435897	1.964717904	2.356403474	1.199359699	6.621554879	6.583011567
-15	0.641025641	2.012479613	2.413169537	1.1991026	6.782522915	6.741597165
-15	0.6923076923	2.060241323	2.469935601	1.198857422	6.94349095	6.900182762
-15	0.7435897436	2.108003032	2.526701665	1.198623354	7.104458985	7.05876836
-15	0.7948717949	2.155764742	2.583467728	1.198399657	7.26542702	7.217353957
-15	0.8461538462	2.203526451	2.640233792	1.198185658	7.426395056	7.375939555
-15	0.8974358974	2.251288161	2.696999855	1.197980739	7.587363091	7.534525152
-15	0.9487179487	2.299049871	2.753765919	1.197784334	7.748331126	7.69311075
-15	1	2.34681158	2.810531982	1.197595924	7.909299161	7.851696347
-14.48717949	-1	0.4458572925	0.5506506653	1.235037925	1.502642453	1.538335747
-14.48717949	-0.9487179487	0.493619002	0.6074167288	1.230537573	1.663610488	1.696921345
-14.48717949	-0.8974358974	0.5413807116	0.6641827924	1.226831282	1.824578524	1.855506942
-14.48717949	-0.8461538462	0.5891424211	0.7209488559	1.223725928	1.985546559	2.01409254
-14.48717949	-0.7948717949	0.6369041307	0.7777149194	1.221086317	2.146514594	2.172678137
-14.48717949	-0.7435897436	0.6846658402	0.834480983	1.218814981	2.30748263	2.331263735
-14.48717949	-0.6923076923	0.7324275497	0.8912470465	1.216839873	2.468450665	2.489849332
-14.48717949	-0.641025641	0.7801892593	0.94801311	1.21510659	2.6294187	2.64843493
-14.48717949	-0.5897435897	0.8279509688	1.004779174	1.213573281	2.790386735	2.807020527
-14.48717949	-0.5384615385	0.8757126784	1.061545237	1.212207227	2.951354771	2.965606125
-14.48717949	-0.4871794872	0.9234743879	1.118311301	1.210982476	3.112322806	3.124191722
-14.48717949	-0.4358974359	0.9712360974	1.175077364	1.209878182	3.273290841	3.28277732
-14.48717949	-0.3846153846	1.018997807	1.231843428	1.208877408	3.434258876	3.441362917
-14.48717949	-0.3333333333	1.066759517	1.288609491	1.207966249	3.595226912	3.599948515
-14.48717949	-0.2820512821	1.114521226	1.345375555	1.207133183	3.756194947	3.758534112
-14.48717949	-0.2307692308	1.162282936	1.402141618	1.206368583	3.917162982	3.91711971
-14.48717949	-0.1794871795	1.210044645	1.458907682	1.205664343	4.078131018	4.075705307
-14.48717949	-0.1282051282	1.257806355	1.515673745	1.205013586	4.239099053	4.234290905
-14.48717949	-0.07692307692	1.305568064	1.572439809	1.204410442	4.400067088	4.392876502
-14.48717949	-0.02564102564	1.353329774	1.629205872	1.20384987	4.561035123	4.5514621
-14.48717949	0.02564102564	1.401091483	1.685971936	1.203327517	4.722003159	4.710047697
-14.48717949	0.07692307692	1.448853193	1.742738	1.202839603	4.882971194	4.868633295
-14.48717949	0.1282051282	1.496614902	1.799504063	1.202382831	5.043939229	5.027218892
-14.48717949	0.1794871795	1.544376612	1.856270127	1.201954311	5.204907265	5.18580449
-14.48717949	0.2307692308	1.592138321	1.91303619	1.201551501	5.3658753	5.344390087
-14.48717949	0.2820512821	1.639900031	1.969802254	1.201172155	5.526843335	5.502975685
-14.48717949	0.3333333333	1.687661741	2.026568317	1.20081428	5.68781137	5.661561282
-14.48717949	0.3846153846	1.73542345	2.083334381	1.200476103	5.848779406	5.82014688
-14.48717949	0.4358974359	1.78318516	2.140100444	1.200156043	6.009747441	5.978732477
-14.48717949	0.4871794872	1.830946869	2.196866508	1.19985268	6.170715476	6.137318075
-14.48717949	0.5384615385	1.878708579	2.253632571	1.199564742	6.331683512	6.295903672
-14.48717949	0.5897435897	1.926470288	2.310398635	1.199291081	6.492651547	6.45448927
-14.48717949	0.641025641	1.974231998	2.367164698	1.199030662	6.653619582	6.613074867
