# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: phi
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-6.879699248	0.7703515093	0.9811533779	1.273643741	2.650007042	2.475112358
-6.834586466	0.7672062398	0.9773189794	1.27386735	2.639187323	2.465439491
-6.789473684	0.7640609702	0.9734845809	1.2740928	2.628367605	2.455766623
-6.744360902	0.7609157007	0.9696501825	1.274320114	2.617547887	2.446093755
-6.69924812	0.7577704312	0.965815784	1.274549315	2.606728168	2.436420887
-6.654135338	0.7546251617	0.9619813855	1.274780426	2.59590845	2.426748019
-6.609022556	0.7514798922	0.9581469871	1.275013473	2.585088732	2.417075151
-6.563909774	0.7483346227	0.9543125886	1.275248478	2.574269013	2.407402283
-6.518796992	0.7451893532	0.9504781901	1.275485467	2.563449295	2.397729415
-6.473684211	0.7420440837	0.9466437917	1.275724465	2.552629577	2.388056547
-6.428571429	0.7388988142	0.9428093932	1.275965498	2.541809858	2.378383679
-6.383458647	0.7357535447	0.9389749947	1.276208591	2.53099014	2.368710811
-6.338345865	0.7326082752	0.9351405962	1.276453772	2.520170422	2.359037943
-6.293233083	0.7294630057	0.9313061978	1.276701067	2.509350704	2.349365075
-6.248120301	0.7263177362	0.9274717993	1.276950504	2.498530985	2.339692207
-6.203007519	0.7231724667	0.9236374008	1.277202111	2.487711267	2.33001934
-6.157894737	0.7200271972	0.9198030024	1.277455915	2.476891549	2.320346472
-6.112781955	0.7168819277	0.9159686039	1.277711947	2.46607183	2.310673604
-6.067669173	0.7137366582	0.9121342054	1.277970236	2.455252112	2.301000736
-6.022556391	0.7105913887	0.908299807	1.278230811	2.444432394	2.291327868
-5.977443609	0.7074461192	0.9044654085	1.278493703	2.433612675	2.281655
-5.932330827	0.7043008497	0.90063101	1.278758943	2.422792957	2.271982132
-5.887218045	0.7011555802	0.8967966116	1.279026563	2.411973239	2.262309264
-5.842105263	0.6980103107	0.8929622131	1.279296594	2.40115352	2.252636396
-5.796992481	0.6948650412	0.8891278146	1.27956907	2.390333802	2.242963528
-5.751879699	0.6917197717	0.8852934162	1.279844024	2.379514084	2.23329066
-5.706766917	0.6885745022	0.8814590177	1.28012149	2.368694366	2.223617792
-5.661654135	0.6854292327	0.8776246192	1.280401502	2.357874647	2.213944924
-5.616541353	0.6822839632	0.8737902207	1.280684096	2.347054929	2.204272057
-5.571428571	0.6791386937	0.8699558223	1.280969308	2.336235211	2.194599189
-5.526315789	0.6759934242	0.8661214238	1.281257173	2.325415492	2.184926321
-5.481203008	0.6728481547	0.8622870253	1.28154773	2.314595774	2.175253453
-5.436090226	0.6697028852	0.8584526269	1.281841016	2.303776056	2.165580585
-5.390977444	0.6665576157	0.8546182284	1.28213707	2.292956337	2.155907717
-5.345864662	0.6634123462	0.8507838299	1.282435931	2.282136619	2.146234849
-5.30075188	0.6602670767	0.8469494315	1.28273764	2.271316901	2.136561981
-5.255639098	0.6571218072	0.843115033	1.283042236	2.260497183	2.126889113
-5.210526316	0.6539765377	0.8392806345	1.283349763	2.249677464	2.117216245
-5.165413534	0.6508312682	0.8354462361	1.283660262	2.238857746	2.107543377
-5.120300752	0.6476859987	0.8316118376	1.283973776	2.228038028	2.097870509
-5.07518797	0.6445407292	0.8277774391	1.284290351	2.217218309	2.088197641
-5.030075188	0.6413954597	0.8239430406	1.28461003	2.206398591	2.078524774
-4.984962406	0.6382501902	0.8201086422	1.28493286	2.195578873	2.068851906
-4.939849624	0.6351049207	0.8162742437	1.285258887	2.184759154	2.059179038
-4.894736842	0.6319596512	0.8124398452	1.28558816	2.173939436	2.04950617
-4.84962406	0.6288143817	0.8086054468	1.285920727	2.163119718	2.039833302
-4.804511278	0.6256691122	0.8047710483	1.286256637	2.152299999	2.030160434
-4.759398496	0.6225238427	0.8009366498	1.286595942	2.141480281	2.020487566
-4.714285714	0.6193785732	0.7971022514	1.286938693	2.130660563	2.010814698
-4.669172932	0.6162333037	0.7932678529	1.287284942	2.119840845	2.00114183
-4.62406015	0.6130880342	0.7894334544	1.287634745	2.109021126	1.991468962
-4.578947368	0.6099427647	0.785599056	1.287988155	2.098201408	1.981796094
-4.533834586	0.6067974952	0.7817646575	1.288345228	2.08738169	1.972123226
-4.488721805	0.6036522257	0.777930259	1.288706023	2.076561971	1.962450358
-4.443609023	0.6005069562	0.7740958606	1.289070597	2.065742253	1.952777491
-4.398496241	0.5973616867	0.7702614621	1.28943901	2.054922535	1.943104623
-4.353383459	0.5942164172	0.7664270636	1.289811324	2.044102816	1.933431755
-4.308270677	0.5910711477	0.7625926651	1.290187599	2.033283098	1.923758887
