# VHH-NNLO SMEFT grid scan points
# process: WminusHH
# energy_tev: 13.6
# scan_axes: phi,phiW
# windows: phi=[-15,5]; phiW=[-1,1]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phi	phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-13.46153846	0.5897435897	0.9956804544	1.161748079	1.166788074	6.227169717	6.208079773
-13.46153846	0.641025641	1.020396693	1.190589562	1.166790887	6.381749642	6.362201158
-13.46153846	0.6923076923	1.045112931	1.219431044	1.166793567	6.536329567	6.516322544
-13.46153846	0.7435897436	1.069829169	1.248272527	1.166796123	6.690909491	6.67044393
-13.46153846	0.7948717949	1.094545407	1.277114009	1.166798564	6.845489416	6.824565315
-13.46153846	0.8461538462	1.119261645	1.305955492	1.166800897	7.000069341	6.978686701
-13.46153846	0.8974358974	1.143977883	1.334796974	1.166803129	7.154649266	7.132808086
-13.46153846	0.9487179487	1.168694121	1.363638456	1.166805267	7.30922919	7.286929472
-13.46153846	1	1.19341036	1.392479939	1.166807316	7.463809115	7.441050857
-12.94871795	-1	0.2084656137	0.2431693171	1.166472075	1.303782505	1.299433625
-12.94871795	-0.9487179487	0.2331818518	0.2720107995	1.16651788	1.458362429	1.453555011
-12.94871795	-0.8974358974	0.25789809	0.300852282	1.166554905	1.612942354	1.607676397
-12.94871795	-0.8461538462	0.2826143281	0.3296937644	1.166585454	1.767522279	1.761797782
-12.94871795	-0.7948717949	0.3073305663	0.3585352468	1.16661109	1.922102204	1.915919168
-12.94871795	-0.7435897436	0.3320468044	0.3873767293	1.166632909	2.076682128	2.070040553
-12.94871795	-0.6923076923	0.3567630426	0.4162182117	1.166651704	2.231262053	2.224161939
-12.94871795	-0.641025641	0.3814792807	0.4450596941	1.166668065	2.385841978	2.378283325
-12.94871795	-0.5897435897	0.4061955189	0.4739011766	1.166682434	2.540421903	2.53240471
-12.94871795	-0.5384615385	0.430911757	0.502742659	1.166695155	2.695001827	2.686526096
-12.94871795	-0.4871794872	0.4556279951	0.5315841414	1.166706495	2.849581752	2.840647481
-12.94871795	-0.4358974359	0.4803442333	0.5604256239	1.166716669	3.004161677	2.994768867
-12.94871795	-0.3846153846	0.5050604714	0.5892671063	1.166725847	3.158741601	3.148890253
-12.94871795	-0.3333333333	0.5297767096	0.6181085887	1.166734169	3.313321526	3.303011638
-12.94871795	-0.2820512821	0.5544929477	0.6469500712	1.166741748	3.467901451	3.457133024
